"","A1.14 - No. of Active Library Cardholders","B1.1 - Net Balance brought forward from previous year","B2.1.4 - Total Provincial Operating Funding","B2.2 - Local Operating Funding (e.g. Municipality or Band local operating funding)","B2.3 - Contract Revenue (funds from other municipalities, LSBs or First Nation Bands that contract for library services). Specify name of contracting organization and amount received from each. (Does not apply to contracting municipalities)","B2.4.1a - Total Project Grants","B2.5 - Donations (monies donated by outside bodies, e.g. Friends groups, trust funds etc.)","B2.6 - Self Generated Revenue (e.g. fines, fees, sales/fundraising, room rentals, cafe revenue, etc.)","B3.1 - Provincial","B3.3 - Local","B3.5 - Total Capital Revenues","B5.0 - Total Operating Expenditures","D1.1.1.C - Librarians","E1.1 - Total No. of Public Access Workstations available in your library","F2.1.P - No. of programs held annually","F3.1.2 - No. of items being borrowed","G1.1.1.W - All circulation except E-books, downloadable audio books, music and video","P1.1 - Resident Population Served","P1.2 - Contracting Population Served","P2.1 - Contracting Households Served","P2.2 - Resident Households Served"
"1",-0.411105024271474,0.680846474730648,-0.329942880800607,-0.398145769260859,3.81919246444303,-0.562269924000911,-0.545676410166142,-0.38096769416866,-0.242535625036333,-0.494657382850294,-0.45812914840727,-0.386661244445868,-0.399286898398656,-0.452518908162366,-0.628291742017065,0.344822512967573,-0.315371800968681,-0.466037084474479,3.37502328120615,3.41126702616485,-0.499181340043578
"2",0.245693585926778,0.517508851631477,-0.26134939188025,-0.238242900007996,-0.323955149044223,-0.440817673621183,-0.718425072694666,-0.194817980032293,-0.242535625036333,0.106219577433298,0.0891716594658606,-0.228457540305534,-0.344190491963777,-0.272983471472771,-0.468334509814485,-0.170310491635553,-0.248262475262667,-0.0510419995015482,-0.437368426889643,-0.336288862835345,-0.197005986947486
"3",-0.500244995457545,-0.438179238757301,-0.359263067966584,-0.404443752551906,0.0515245086740814,-0.416979267931749,-0.330365811749224,-0.512622770363192,-0.242535625036333,-0.450144332583225,-0.421912427461458,-0.398413193324806,-0.366229054537729,-0.368191657596041,-0.38983242201045,-0.678950223071413,-0.443983140699995,-0.409158513755513,0.645304747010673,-0.336288862835345,-0.422511066470615
"4",-0.522154950795639,-0.438179238757301,-0.316453718691529,-0.379211821663667,-0.312354335726459,-0.585388920904349,-0.718425072694666,-0.477848980992652,-0.242535625036333,-0.51747499685274,-0.476694022169409,-0.380645997551124,-0.454383304833536,-0.335548850925205,-0.349966157984576,-0.704923315740478,-0.419735765644296,-0.350003331426105,-0.437368426889643,-0.336288862835345,-0.407026075016215
"5",-0.552560900337514,0.0381390517330269,-0.334536747263045,-0.366040463247046,-0.323955149044223,-0.323268453895152,-0.718425072694666,-0.429054093959411,-0.242535625036333,-0.207202696008423,-0.224250182228677,-0.367447040093018,-0.38826761711168,-0.44163797260542,-0.357348799470849,-0.697708567776849,-0.299858238652036,-0.409057535014727,-0.437368426889643,-0.336288862835345,-0.470330061741714
"6",0.0538297625362461,-0.438179238757301,-0.0419363032132314,0.109327572317583,-0.323955149044223,0.451378415407367,-0.248784908520271,-0.147956471673042,-0.242535625036333,-0.51747499685274,-0.476694022169409,0.0853029449195416,0.00842650921945217,0.0480041274571109,-0.363008824610325,-0.562792780856982,0.0576673524810809,-0.0191841247721908,-0.437368426889643,-0.336288862835345,0.0570820388956265
"7",-0.247792596259477,-0.438179238757301,-0.309976745334999,-0.359196816699588,-0.323955149044223,-0.504666903304502,-0.694620029118349,-0.393795753368529,-0.242535625036333,-0.430693251794254,-0.406086633434717,-0.35834194641464,-0.311132648102849,-0.28114417314048,-0.519766912168853,-0.694822668591397,-0.379295154128835,-0.369301286778818,-0.437368426889643,-0.336288862835345,-0.310571908029128
"8",-0.243530034596094,-0.435157500172672,-0.302218880934979,-0.248165692025508,-0.323955149044223,-0.45678066101251,-0.354796085069277,-0.191160680084339,-0.242535625036333,-0.152078175553849,-0.179399753812811,-0.254428002441232,-0.25603624166797,-0.357310722039096,-0.358579239718561,-0.761198349856786,-0.273121557047171,-0.277412468640874,-0.437368426889643,-0.336288862835345,-0.276694995316613
"9",-0.510644092362973,-0.438179238757301,-0.320373639404931,-0.351776100091418,0.168582239247141,-0.0177128314683715,-0.496920068483327,-0.474165619524879,-0.242535625036333,-0.338334480252063,-0.330941662785151,-0.341147447119654,-0.322151929389825,-0.202257390352627,0.420535525132773,2.04461713319862,-0.40504630822618,-0.384310399613793,0.433272524849344,-0.336288862835345,-0.371785141395802
"10",-0.120435215717882,-0.438179238757301,-0.0721716377647424,-0.0645093292370152,-0.323955149044223,0.688641880922385,3.03436594580869,0.0798221767877756,-0.242535625036333,0.647453381571339,0.471115344973752,-0.0472957642929449,0.0635229156543317,0.140492079691145,1.39455202522171,1.44290715303194,-0.0437400296719747,-0.00466888977851289,-0.437368426889643,-0.336288862835345,0.125383708783665
"11",0.724746287674267,-0.438179238757301,0.0195567140026566,0.22630856822282,-0.323955149044223,-0.0999307841619704,1.01832421546073,0.246275173389717,-0.242535625036333,1.60875650639512,1.25325107387114,0.190600045886045,0.250850697532922,0.0969683374633641,0.0506651866705004,-0.499302998777045,0.509548706532415,0.443203037217159,-0.437368426889643,-0.336288862835345,0.346047632133687
"12",0.124773741564734,-0.438179238757301,-0.0235143311655917,0.0117433548164373,-0.323955149044223,0.196041334077838,1.11614951369823,0.631509802666022,-0.242535625036333,-0.51747499685274,-0.476694022169409,0.00177146540250246,0.0414843530803799,-0.126090841454011,0.62478860625299,1.3152061140757,0.0159013763865416,-0.00472396909166877,-0.437368426889643,-0.336288862835345,0.183779456340586
