"","City","Average City Revenue"
"213","Millbrook",197163.545454545
"214","Milton",1959988.81818182
"215","Milverton",190847.545454545
"216","Mindemoya",52605.9090909091
"217","Mine Centre",30332.3636363636
"218","Mississauga",22749588.5454545
"219","Mitchell",170850.090909091
"220","Monbeam",NA
"221","Monetville",NA
"222","Morson",35154.6363636364
"223","Muncey",33915.6
"224","Murillo",59915.0909090909
"225","Nairn Centre",1382
"226","Nakina",79791
"227","Napanee",1037116.90909091
"228","Naughton",NA
"229","Nepean",4865589
"230","Nestor Falls",25049.8181818182
"231","Neustadt",NA
"232","New Liskeard",6428.82608695652
"233","Newmarket",2454582.36363636
"234","Niagara-on-the-Lake",440377.272727273
"235","Niagara Falls",3444475.81818182
"236","Nipigon",82497.9090909091
"237","Nobel",21966.8636363636
"238","North Bay",1705345.54545455
"239","Norwood",111864.454545455
"240","Oakville",7599328
"241","Ohsweken",195266.363636364
"242","Onaping",NA
"243","Opasatika",10616.9090909091
"244","Orangeville",419447.545454545
"245","Orillia",1361628.36363636
"246","Oro",206917.090909091
"247","Orton",37671.5454545455
"248","Osgoode",146473
"249","Oshawa",6821978
"250","Ottawa",30763576.3636364
"251","Owen Sound",1167993.81818182
"252","Palmer Rapids",4584
"253","Paris",1176346.72727273
"254","Parry Sound",96709.5681818182
"255","Pawitik",NA
"256","Pelee Island",NA
"257","Pembroke",284111.454545455
"258","Pentanguishene",338984.363636364
"259","Perkinsfield",90978.7272727273
"260","Perth",393232.272727273
"261","Petawawa",447135.727272727
"262","Peterborough",1922463
"263","Pickering",4022260.81818182
"264","Picton",734612.454545455
"265","Plantagenet",NA
"266","Port Carling",255043.545454545
"267","Port Colborne",620380.727272727
"268","Port Elgin",NA
"269","Port Hope",542811.818181818
"270","Port McNicoll",294378
"271","Port Perry",471087.181818182
"272","Port Rowan",119719
"273","Powassan",178389.909090909
"274","Prescott",125452.545454545
"275","Rainy River",22792.9090909091
"276","Rama",119466.363636364
"277","Red Rock",69243
"278","Redbridge",7902
"279","Renfrew",256121.4375
"280","Restoule",3244.90909090909
"281","Richards Landing",30702.2727272727
"282","Richmond Hill",7008703.18181818
"283","Rockcliffe Park",136352
"284","Rockland",422767.818181818
"285","Roseneath",33607
"286","Rossport",289
"287","Sarnia",NA
"288","Sault Ste. Marie",1324949.13043478
"289","Schreiber",108772.363636364
"290","Searchmont",859
"291","Shannonville",80916.9090909091
"292","Sheguiandah",28716
"293","Shelburne",125294.363636364
"294","Sheshegwaning",192255.545454545
"295","Simcoe",1711955.63636364
"296","Sioux Lookout",279728.727272727
"297","Sioux Narrows",18053.0909090909
"298","Smiths Falls",171915.454545455
"299","Smithville",245060.727272727
"300","Smooth Rock Falls",67239.0909090909
"301","South Gillies",NA
"302","South River",57792.0769230769
"303","Southampton",34795.3636363636
"304","Southwold",28417
"305","Spanish",49418.25
"306","Spencerville",78709
"307","Sprucedale",2589
"308","St. Catharines",4895338.81818182
"309","St. Charles",55773.1818181818
"310","St. Eugene",12354.0909090909
"311","St. Mary's",NA
"312","St. Pauls",51826.3636363636
"313","St. Thomas",1732627.13636364
"314","Stayner",477766
"315","Stirling",149269.818181818
"316","Stittsville",357081
"317","Stonecliffe",15820.3636363636
"318","Stouffville",803901.090909091
"319","Stratford",1701350.81818182
"320","Stratton",1290.54545454545
"321","Stroud",NA
"322","Sturgeon Falls",407542
"323","Sudbury",3384914
"324","Sundridge",33571.0909090909
"325","Sutton West",44098.1818181818
"326","Tehkummah",10026.1818181818
"327","Temagami",49051
"328","Terrace Bay",171045.545454545
"329","Thamesville",25456.7272727273
"330","Thessalon",32732
"331","Thornbury",410492.454545455
"332","Thornhill",NA
"333","Thornloe",613
"334","Thorold",490686.727272727
"335","Thunder Bay",4902571.54545455
"336","Tillsonburg",275169.909090909
"337","Timmins",1172738.90909091
"338","Toledo",8876
"339","Toronto",159094904.818182
"340","Trenton",1198688.90909091
"341","Trout Creek",13426
"342","Tweed",87420
"343","Tyendinaga Mohawk Territory",51609
"344","Uxbridge",640538.636363636
"345","Val Rita",36400.9090909091
"346","Vanier",256709
"347","Vankleek Hill",137588.545454545
"348","Virginiatown",46413
"349","Wabigoon",800.181818181818
"350","Wainfleet",284320.090909091
"351","Warren",NA
"352","Wasaga Beach",325613
"353","Waterloo",3402815.54545455
"354","Wawa",80216.3181818182
"355","Weagamow Lake",20685.8181818182
"356","Welland",1637239.36363636
"357","Westmeath",5852
"358","Westport",33092.4545454545
"359","Whitby",3409507.18181818
"360","White River",42718.0909090909
"361","Whitefish Falls",1271.54545454545
"362","Whitney",46484.4545454545
"363","Wiarton",27278.3636363636
"364","Wikwemikong",64094.4545454545
"365","Windsor",8692015.72727273
"366","Woodstock",1987734.09090909
"367","Wyoming",4330806.33333333
"368","Bala",25173.9090909091
"369","Bear Island",22305.6363636364
"370","Caledon East",2044706.72727273
"371","Campbellford",317412.363636364
"372","Coleman Township",1498
"373","Curve Lake,ON",29379.0909090909
"374","Dowling",194851
"375","Garden Village",79326.1818181818
"376","Heron Bay",45918.8181818182
"377","Innisfil",1660884.90909091
"378","Kakabeka Falls,   ON",984
"379","Kettle and Stony Point",22738.1818181818
"380","Lefaivre",201551.272727273
"381","Little Current On",81234.0909090909
"382","Manitoulin Island",30121.1818181818
"383","Markstay",54392
"384","Moonbeam",96868.4545454545
"385","Neebing",4992
"386","Noelville",123047.363636364
"387","Pawitik P.O. Pawitik",25525.4
"388","Pickerel",26919.1818181818
"389","Shoal Lake",23711.0909090909
"390","Silver Water",397
"391","St-Isidore",236091.363636364
"392","St. Marys",366123.727272727
"393","Town of Saugeen Shores",2384333.63636364
"394","Township of Pelee",6173.44444444444
"395","Vaughan",8468002.54545454
"396","Vermilion bay",3558
"397","Via Monetville",44960.2727272727
"398","Wallaceburg",80464.8181818182
"399","Whitefish First Nation",21012.8181818182
"400","Grafton",134740.3
"401","Greater Sudbury",6785618
"402","Meldrum Bay",274
"403","Sault Ste Marie",6458.5
"404","Killarney",1066
"405","Constance Lake",10022.3333333333
"406","Sachigo Lake",9431.66666666667
"407","Hudson, ON",23178
"408","Mobert, ON",3811
